0,394
00,15
0000000002,1
00001,5
000010,1
00002,2
00004,1
00006,1
00007,1
00007091,1
0001,23
00012,2
000158,1
00017,1
00018,1
00019,1
0001B,1
0002,7
00020,1
00022,1
00026,1
00028,1
00029,1
0002A,1
0002B,1
0003,3
00038,1
0003A,1
0004,2
0004720,1
0005,4
00054,1
00056,1
00058,1
0006,2
0006A,1
0006B,1
0007,4
0008,3
0009,1
00092,1
000926,1
001,186
0010,4
0011,6
0012,4
001257,1
0013,2
00139,1
0014,1
0014B,1
0015,3
00151,1
0016,2
00168,1
0017,1
001706,1
001789,1
0018,4
00180,4
00182,1
0019,3
00199,2
001A,2
001NO1,1
002,100
0020,1
0021,1
00211,1
002188,1
002236,1
0023,2
00234,1
0024,3
00246,1
0026,1
00268,1
00270,1
0028,2
002B,1
002NO2,1
003,80
0030,1
0032,3
0033,2
0034,3
0036,2
00363,1
0037,2
00371,1
0038,2
0039,3
004,37
0040,2
0041,1
0043,1
00446,1
004701,1
004726,1
0048,40
004873,1
005,42
00505,1
0053,1
0054,1
0055,1
00557,1
0058,2
006,65
0060,1
0061,1
0063,1
0065,3
00668,1
0067,1
006781,1
0068,4
0069,1
007,67
0070,1
0072,1
0073,2
0076,1
007743,1
0078,2
0079,5
007CHAIN,13
008,96
0080,2
00806,1
0081,4
0081FROME,1
0082,1
008285,1
0083,1
0085,2
0088,4
00886,1
00888,1
008D,1
009,45
009030,1
0092,2
0093,1
0095,3
0097,1
0098,6
0099,1
01,37
010,36
01000032,1
01001,1
0100311,1
01006,1
01009,1
0101,6
01013,1
01015,1
0102,3
01022,1
01024,1
01027,1
01028,1
0103,1
0105,2
01052,1
0106,3
01067,1
010708,1
0108,1
01086,1
0109,1
01091,1
010966,1
010967,1
011,45
0110,1
0111,1
01116,1
0112,1
0113,2
01135,1
0115,1
0116,1
0117,1
0118,3
01188,1
0119,3
01199,1
012,33
0120,1
0120002,1
0121,1
01216,1
0122,2
0123,3
0126,3
0127,1
0129,4
013,26
0131,1
0132,2
0134,1
0138,2
0139,2
014,22
0140,1
0143,2
0145,1
0146,1
0147,1
0149,1
015,23
0150,1
0151,1
01515,1
015417,1
0155,2
015792,1
0159,1
016,34
0160,1
0162,1
01623,1
0168,3
01689,1
017,26
0176,1
018,40
0180,1
0181,1
0185,2
0186,1
01868,1
0187,1
019,36
0192,1
0194,1
0196,1
0197,2
0198,2
01A0810002,1
01A1005017,1
01A1006010,1
02,23
020,30
02004,1
02010,1
02011,1
